Language,Premiere,Runtime,Title
English,"January 31, 2020",1 h 25 min,Miss Americana
Spanish,"March 20, 2020",1 h 32 min,A Life of Speed: The Juan Manuel Fangio Story
English,"March 25, 2020",1 h 48 min,Crip Camp: A Disability Revolution
English,"April 10, 2020",1 h 32 min,LA Originals
English,"April 22, 2020",1 h 26 min,Circus of Books
English,"April 29, 2020",1 h 22 min,A Secret Love
English,"April 29, 2020",1 h 37 min,Murder to Mercy: The Cyntoia Brown Story
English,"May 6, 2020",1 h 29 min,Becoming
English,"May 11, 2020",1 h 25 min,Have a Good Trip: Adventures in Psychedelics
English,"June 3, 2020",1 h 23 min,Spelling the Dream
Thai,"June 18, 2020",1 h 25 min,One Take
English,"June 19, 2020",1 h 47 min,Disclosure: Trans Lives on Screen
English,"June 24, 2020",1 h 44 min,Athlete A
English,"July 8, 2020",1 h 36 min,Mucho Mucho Amor: The Legend of Walter Mercado
French,"July 14, 2020",1 h 26 min,We Are One
English,"July 17, 2020",1 h 40 min,Father Soldier Son
English,"July 29, 2020",40 min,The Speed Cubers
French,"August 5, 2020",1 h 34 min,Anelka: Misunderstood
English,"August 26, 2020",1 h 46 min,Rising Phoenix
English,"September 7, 2020",1 h 25 min,My Octopus Teacher
English,"September 9, 2020",1 h 34 min,The Social Dilemma
Thai,"September 15, 2020",1 h 20 min,Hope Frozen: A Quest to Live Twice
French,"September 17, 2020",1 h 36 min,GIMS: On the Record
English,"September 30, 2020",1 h 22 min,American Murder: The Family Next Door
English,"October 2, 2020",1 h 30 min,Dick Johnson Is Dead
English,"October 4, 2020",1 h 23 min,David Attenborough: A Life on Our Planet
French,"October 8, 2020",1 h 40 min,Bigflo & Oli: Hip Hop Frenzy
Korean,"October 14, 2020",1 h 19 min,Blackpink: Light Up the Sky
Spanish,"October 14, 2020",1 h 49 min,The Three Deaths of Marisela Escobedo
Bengali,"October 15, 2020",41 min,Rooting for Roona
Spanish,"October 27, 2020",1 h 34 min,Guillermo Vilas: Settling the Score
English,"October 28, 2020",1 h 54 min,Secrets of the Saqqara Tomb
English,"November 23, 2020",1 h 23 min,Shawn Mendes: In Wonder
English,"November 27, 2020",1 h 20 min.,Dance Dreams: Hot Chocolate Nutcracker
Portuguese,"December 8, 2020",1 h 29 min,Emicida: AmarElo – It's All For Yesterday
English,"December 11, 2020",1 h 30 min,Giving Voice
