Genre,Language,Premiere,Runtime,Title
Making-of,Spanish,"February 11, 2020",1 h 12 min,Road to Roma
Concert film,English,"May 20, 2020",1 h 25 min,Ben Platt: Live from Radio City Music Hall
Aftershow / Interview,English,"September 30, 2020",28 min,The Boys in the Band: Something Personal
Variety show,English,"October 27, 2020",49 min,Sarah Cooper: Everything's Fine
Stop motion,English,"November 20, 2020",42 min,Alien Xmas
Concert film,English,"November 25, 2020",1 h 27 min,Shawn Mendes: Live in Concert
Animation,English,"December 1, 2020",47 min,Angela's Christmas Wish
Aftershow / Interview,English,"December 18, 2020",31 min,Ma Rainey's Black Bottom: A Legacy Brought to Screen
Concert film,English,"December 21, 2020",1 h 37 min,"Ariana Grande: Excuse Me, I Love You"
Comedy,English,"December 27, 2020",1 h 10 min,Death to 2020
