Genre,Language,Premiere,Runtime,Title
Drama,English,"January 20, 2020",17 min,What Did Jack Do?
Animation,English,"March 8, 2020",15 min,Sitara: Let Girls Dream
Anime,English,"April 2, 2020",4 min,Sol Levante
Documentary,English,"July 10, 2020",17 min,The Claudia Kishi Club
Documentary,English,"August 20, 2020",16 min,John Was Trying to Contact Aliens
Documentary,English,"September 21, 2020",19 min,A Love Song for Latasha
Aftershow / Interview,English,"November 3, 2020",14 min,I'm No Longer Here:  A Discussion with Guillermo del Toro and Alfonso Cuarón
Animation,English,"November 20, 2020",12 min,If Anything Happens I Love You
Animation,English,"December 11, 2020",9 min,Canvas
Animation,English,"December 28, 2020",7 min,Cops and Robbers
