Genre,Language,Premiere,Runtime,Title
Musical,English,"June 27, 2019",15 min,Anima
Aftershow / Interview,English,"August 21, 2019",10 min,American Factory: A Conversation with the Obamas
Documentary,Japanese,"October 28, 2019",19 min,Little Miss Sumo
Making-of,English,"October 29, 2019",13 min,The Road to El Camino: A Breaking Bad Movie
