Language,Premiere,Runtime,Title
English,"January 11, 2019",1 h 4 min,ReMastered: Massacre at the Stadium
English,"January 18, 2019",1 h 37 min,Fyre: The Greatest Party That Never Happened
English,"February 8, 2019",1 h 4 min,ReMastered: The Two Killings of Sam Cooke
Hindi,"February 12, 2019",26 min,Period. End of Sentence.
French,"March 21, 2019",1 hour,Antoine Griezmann: The Making of a Legend
English,"March 22, 2019",1 h 10 min,ReMastered: The Miami Showband Massacre
English,"March 29, 2019",1 h 27 min,The Legend of Cocaine Island
English,"April 17, 2019",2 h 17 min,Homecoming: A Film by Beyoncé
English,"April 19, 2019",1 h 16 min,Brené Brown: The Call to Courage
English,"April 20, 2019",1 h 37 min,Grass Is Greener
English,"April 26, 2019",48 min,ReMastered: Devil at the Crossroads
English,"May 1, 2019",1 h 27 min,Knock Down the House
English,"May 3, 2019",39 min,All in My Family
English,"May 17, 2019",1 h 24 min,ReMastered: The Lion's Share
Spanish,"May 22, 2019",30 min,A Tale of Two Kitchens
Spanish,"May 24, 2019",37 min,After Maria
English,"June 7, 2019",1 h 58 min,The Black Godfather
English,"June 12, 2019",2 h 22 min,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese
English,"June 14, 2019",40 min,Life Overtakes Me
Portuguese,"June 19, 2019",2 h 1 min,The Edge of Democracy
Spanish,"July 10, 2019",1 h 46 min,Parchis: The Documentary
English,"July 24, 2019",1 h 54 min,The Great Hack
English,"August 5, 2019",58 min,Enter the Anime
English,"August 21, 2019",1 h 50 min,American Factory
English,"August 28, 2019",1 h 25 min,Travis Scott: Look Mom I Can Fly
English,"September 10, 2019",1 h 36 min,Evelyn
English,"September 13, 2019",1 h 4 min,"Hello, Privilege. It's Me, Chelsea"
Spanish,"September 15, 2019",1 h 4 min,Los Tigres del Norte at Folsom Prison
Spanish,"September 25, 2019",37 min,Birders
English,"October 16, 2019",21 min,Ghosts of Sugar Land
English,"October 18, 2019",1 h 25 min,Tell Me Who I Am
English,"October 23, 2019",51 min,Dancing with the Birds
English,"October 25, 2019",2 h 6 min,It Takes a Lunatic
Spanish,"October 28, 2019",28 min,A 3 Minute Hug
English,"November 1, 2019",39 min,Fire in Paradise
English,"November 20, 2019",1 h 26 min,"Bikram: Yogi, Guru, Predator"
Spanish,"November 20, 2019",28 min,"Lorena, Light-Footed Woman"
Spanish,"December 19, 2019",25 min,After the Raid
Spanish,"December 27, 2019",1 h 13 min,El Pepe: A Supreme Life
