Genre,Language,Premiere,Runtime,Title
Drama,English,"January 4, 2019",1 h 34 min,Lionheart
Comedy,English,"January 11, 2019",1 h 38 min,The Last Laugh
Science fiction,English,"January 18, 2019",1 h 36 min,IO
Crime drama,Hindi,"January 18, 2019",1 h 37 min,Soni
Action,English,"January 25, 2019",1 h 58 min,Polar
Dark comedy horror,English,"February 1, 2019",1 h 52 min,Velvet Buzzsaw
Sports-drama,English,"February 8, 2019",1 h 30 min,High Flying Bird
Drama,Marathi,"February 22, 2019",1 h 56 min,Firebrand
Romance drama,French,"February 22, 2019",1 h 24 min,Paris Is Us
Comedy drama,English,"February 22, 2019",1 h 29 min,Paddleton
Biopic,English,"March 8, 2019",1 h 39 min,Walk. Ride. Rodeo.
Drama,English,"March 8, 2019",1 h 30 min,Juanita
Action-adventure,English,"March 13, 2019",2 h 5 min,Triple Frontier
Anime/Science fiction,Japanese,"March 19, 2020",1 h 14 min,Altered Carbon: Resleeved
Biographical comedy,English,"March 22, 2019",1 h 48 min,The Dirt
Crime drama,English,"March 29, 2019",2 h 12 min,The Highwaymen
Comedy drama,Marathi,"March 29, 2019",2 h 4 min,15 August
Comedy drama,English,"April 5, 2019",1 h 31 min,Unicorn Store
Drama,Spanish,"April 12, 2019",1 h 33 min,Who Would You Take to a Deserted Island?
Teen romantic comedy,English,"April 12, 2019",1 h 30 min,The Perfect Date
Romantic comedy,English,"April 19, 2019",1 h 32 min,Someone Great
Drama,Hindi,"April 19, 2019",1 h 41 min,Music Teacher
Comedy,Spanish,"May 3, 2019",1 h 18 min,Despite Everything
Teen romantic comedy,English,"May 3, 2019",1 h 49 min,The Last Summer
Comedy,English,"May 10, 2019",1 h 43 min,Wine Country
Drama,English,"May 16, 2019",1 h 30 min,Good Sam
Science fiction,English,"May 17, 2019",1 h 27 min,See You Yesterday
Science fiction adventure,English,"May 24, 2019",1 h 39 min,Rim of the World
Horror thriller,English,"May 24, 2019",1 h 30 min,The Perfection
Romantic comedy,English,"May 31, 2019",1 h 42 min,Always Be My Maybe
Comedy,Hindi,"May 31, 2019",1 h 40 min,Chopsticks
Biographical romance,Spanish,"June 7, 2019",1 h 58 min,Elisa & Marcela
Comedy mystery,English,"June 14, 2019",1 h 37 min,Murder Mystery
Coming-of-age drama,English,"June 19, 2019",1 h 50 min,Beats
Action,English,"July 12, 2019",1 h 26 min,Point Blank
Thriller,English,"July 18, 2019",1 h 37 min,Secret Obsession
Spy thriller,English,"July 31, 2019",2 h 10 min,The Red Sea Diving Resort
Comedy,English,"August 2, 2019",1 h 40 min,Otherhood
Romantic drama,Hindi,"August 9, 2019",1 h 46 min,Jaoon Kahan Bata Ae Dil
Animation / Science fiction,English,"August 16, 2019",1 h 11 min,Invader Zim: Enter the Florpus
Comedy,English,"August 16, 2019",1 h 39 min,Sextuplets
Romantic comedy,English,"August 29, 2019",1 h 38 min,Falling Inn Love
Comedy,French,"August 30, 2019",1 h 23 min,Back to School
Teen comedy drama,English,"September 13, 2019",1 h 42 min,Tall Girl
Comedy,English,"September 20, 2019",1 h 22 min,Between Two Ferns: The Movie
Science fiction thriller,English,"September 27, 2019",1 h 55 min,In the Shadow of the Moon
Horror,English,"October 4, 2019",1 h 41 min,In the Tall Grass
Crime drama,English,"October 11, 2019",2 h 2 min,El Camino: A Breaking Bad Movie
Thriller,English,"October 11, 2019",1 h 40 min,Fractured
Crime thriller,Japanese,"October 11, 2019",2 h 31 min,The Forest of Love
Drama,French,"October 12, 2019",1 h 36 min,Street Flow
Horror,English,"October 18, 2019",1 h 38 min,Eli
Coming-of-age comedy drama,Spanish,"October 18, 2019",1 h 39 min,Seventeen
Biographical comedy drama,English,"October 18, 2019",1 h 36 min,The Laundromat
Comedy drama,Hindi,"October 18, 2019",1 h 52 min,Upstarts
Biopic,English,"October 25, 2019",1 h 58 min,Dolemite Is My Name
Horror,English,"October 25, 2019",1 h 25 min,Rattlesnake
Historical drama,English,"November 1, 2019",2 h 20 min,The King
Drama,English,"November 1, 2019",1 h 30 min,American Son
Action,Hindi,"November 1, 2019",1 h 59 min,Drive
Christmas adventure-romance,English,"November 1, 2019",1 h 26 min,Holiday in the Wild
Christmas romantic comedy,English,"November 8, 2019",1 h 33 min,Let It Snow
Thriller,English,"November 15, 2019",1 h 46 min,Earthquake Bird
Comedy,Hindi,"November 15, 2019",1 h 44 min,House Arrest
Animation / Christmas / Comedy / Adventure,English,"November 15, 2019",1 h 38 min,Klaus
Christmas romantic comedy,English,"November 21, 2019",1 h 32 min,The Knight Before Christmas
Crime drama,English,"November 27, 2019",3 h 29 min,The Irishman
Christmas-family,English,"November 28, 2019",1 h 34 min,Holiday Rush
Thriller,Filipino,"December 1, 2019",1 h 34 min,Dead Kids
Christmas romantic comedy,English,"December 5, 2019",1 h 25 min,A Christmas Prince: The Royal Baby
Drama,English,"December 6, 2019",2 h 16 min,Marriage Story
Action,English,"December 13, 2019",2 h 8 min,6 Underground
Biographical drama,English,"December 20, 2019",2 h 5 min,The Two Popes
Comedy,Spanish,"December 24, 2019",1 h 57 min,Como caído del cielo
Science fiction drama,Italian,"December 26, 2019",1 h 19 min,The App
