Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"December 18, 2020",Comedy drama,,"December 5, 2019",25–34 min,"2 seasons, 12 episodes",Home for Christmas
"August 24, 2023",Fantasy superhero drama,,"January 31, 2020",38–54 min,"3 seasons, 18 episodes",Ragnarok
"March 13, 2020",Horror anthology,,"March 13, 2020",27–33 min,"1 season, 6 episodes",Bloodride
"August 25, 2021",Supernatural drama,,"August 25, 2021",43–47 min,"1 season, 6 episodes",Post Mortem: No One Dies in Skarnes
"September 14, 2022",Crime drama,,"September 14, 2022",50–52 min,5 episodes,The Lørenskog Disappearance
"December 16, 2022",Comedy drama,,"December 16, 2022",28–38 min,6 episodes,A Storm for Christmas
