Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"December 18, 2020",Anthology series,,"December 18, 2020",33–38 min,"1 season, 4 episodes",Paava Kadhaigal
"August 6, 2021",Anthology series,,"August 6, 2021",28–48 min,"1 season, 9 episodes",Navarasa
