Finale,Genre,Netflix exclusive region,Notes,Premiere,Runtime,Seasons,Title
"October 23, 2015",Horror/thriller,Selected territories,,"April 19, 2013",45–58 min,"3 seasons, 33 episodes",Hemlock Grove
"March 8, 2019",Thriller,Selected territories,,"March 8, 2019",40–49 min,"1 season, 8 episodes",Shadow
