Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"June 13, 2019",Fantasy adventure,,"June 13, 2019",25–47 min,"1 season, 5 episodes",Jinn
"August 8, 2019",Thriller,,"August 8, 2019",39–45 min,"1 season, 15 episodes",Dollar
"November 5, 2020",Supernatural drama,,"November 5, 2020",46–55 min,"1 season, 6 episodes",Paranormal
"March 15, 2021",Puppetry/live-action comedy,,"March 15, 2021",17–24 min,"1 season, 6 episodes",Abla Fahita: Drama Queen
"March 10, 2022",Romantic comedy,,"March 10, 2022",19–36 min,"1 season, 8 episodes","Love, Life & Everything in Between"
"October 11, 2022",Comedy drama,,"October 11, 2022",33–40 min,"1 season, 8 episodes",The Cage
