Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"August 14, 2020",Science fiction,,"November 25, 2016",36–74 min,"4 seasons, 33 episodes",3%
"May 10, 2019",Crime drama,,"March 23, 2018",39–55 min,"2 seasons, 16 episodes",The Mechanism
"April 19, 2019",Comedy,,"July 6, 2018",24–37 min,"2 seasons, 14 episodes",Samantha!
"June 19, 2020",Period drama,,"March 22, 2019",35–56 min,"2 seasons, 13 episodes",Girls from Ipanema
"December 6, 2019",Thriller drama,,"June 28, 2019",40–54 min,"2 seasons, 12 episodes",The Chosen One
"May 11, 2022",Crime drama,,"October 25, 2019",45–57 min,"2 seasons, 14 episodes",Brotherhood
"November 22, 2019",Comedy drama,,"November 22, 2019",19–30 min,"1 season, 8 episodes",Nobody's Looking
"January 29, 2020",Science fiction,,"January 29, 2020",38–52 min,"1 season, 6 episodes",Omniscient
"June 10, 2020",Zombie horror,,"June 10, 2020",25–36 min,"1 season, 10 episodes",Reality Z
"July 17, 2020",Thriller,,"July 17, 2020",32–49 min,"1 season, 6 episodes",Kissing Game
"November 5, 2021",Thriller,,"November 5, 2021",40–47 min,"1 season, 10 episodes",Glória
"January 21, 2022",Drama,,"January 21, 2022",42–52 min,"1 season, 8 episodes",Summer Heat
"June 15, 2022",Comedy drama,,"June 15, 2022",29–43 min,"1 season, 7 episodes",Maldivas
"August 17, 2022",Comedy,,"August 17, 2022",26–34 min,"1 season, 9 episodes",Unsuspicious
"September 21, 2022",Musical drama,,"September 21, 2022",56–70 min,"1 season, 6 episodes",Only for Love
"December 25, 2022",Comedy,,"December 25, 2022",31–42 min,"1 season, 7 episodes",Time Hustler
"January 1, 2023",Psychological thriller,,"January 1, 2023",35–49 min,10 episodes,Lady Voyeur
"January 25, 2023",Drama,,"January 25, 2023",41–45 min,5 episodes,The Endless Night
