Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"August 6, 2020",Post-apocalyptic drama,,"May 4, 2018",35–49 min,"3 seasons, 20 episodes",The Rain
"December 30, 2020",Thriller,,"December 30, 2020",43–52 min,"1 season, 6 episodes",Equinox
"September 29, 2021",Crime drama,,"September 29, 2021",51–59 min,"1 season, 6 episodes",The Chestnut Man
"November 28, 2021",Fantasy horror,,"November 28, 2021",20–26 min,"1 season, 6 episodes",Elves
"January 27, 2022",Coming-of-age science fiction,,"January 27, 2022",41–49 min,"1 season, 6 episodes",Chosen
"April 27, 2023",Thriller,,"April 27, 2023",43–54 min,4 episodes,The Nurse
"January 5, 2023",Drama,,"January 5, 2023",46–56 min,"1 season, 6 episodes",Copenhagen Cowboy
