Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"June 27, 2020",Science fiction,,"December 1, 2017",45–73 min,"3 seasons, 26 episodes",Dark
"December 7, 2018",Drama,,"December 7, 2018",51–62 min,"1 season, 10 episodes",Dogs of Berlin
"September 20, 2019",Police procedural anthology series,,"September 20, 2019",41–46 min,"1 season, 3 episodes",Criminal: Germany
"September 27, 2019",Drama,,"September 27, 2019",47–66 min,"1 season, 6 episodes",Skylines
"November 1, 2019",Drama,,"November 1, 2019",45–53 min,"1 season, 6 episodes",We Are the Wave
"November 20, 2019",Drama,,"November 20, 2019",34–42 min,3 episodes,Holiday Secrets
"July 9, 2021",Thriller,,"August 20, 2020",40–46 min,"2 seasons, 12 episodes",Biohackers
"September 17, 2020",Comedy drama,,"September 17, 2020",30–49 min,"1 season, 6 episodes",The Last Word
"October 21, 2022",Historical drama,,"October 23, 2020",41–54 min,"2 seasons, 12 episodes",Barbarians
"November 27, 2020",Comedy,,"November 27, 2020",44–50 min,3 episodes,Over Christmas
"February 19, 2021",Science fiction,,"February 19, 2021",44–49 min,"1 season, 6 episodes",Tribes of Europa
"October 7, 2021",Legal thriller,,"October 7, 2021",58–77 min,4 episodes,The Billion Dollar Code
"October 21, 2021",Science fiction comedy-drama,,"October 21, 2021",32–36 min,"1 season, 4 episodes",Life's a Glitch with Julien Bam
"December 30, 2021",Young adult mystery drama,,"December 30, 2021",41–45 min,"1 season, 6 episodes",Kitz
"July 6, 2022",Comedy drama,,"July 6, 2022",45–49 min,"1 season, 6 episodes",King of Stonks
"June 22, 2023",Crime drama,,"June 22, 2023",47–54 min,6 episodes,Sleeping Dog
"September 7, 2023",Psychological thriller,,"September 7, 2023",45–50 min,6 episodes,Dear Child
