Finale,Genre,Language,Notes,Premiere,Runtime,Seasons,Title
"August 23, 2019",Aftershow/Interview,English,,"March 31, 2017",17–67 min,"3 seasons, 3 episodes",13 Reasons Why: Beyond the Reasons
"October 27, 2017",Aftershow,English,,"October 27, 2017",15–25 min,"1 season, 7 episodes",Beyond Stranger Things
"May 18, 2018",Animation,English,,"May 18, 2018",2 min,"1 collection, 11 episodes",Dance & Sing with True
"September 14, 2018",Animation,English,,"September 14, 2018",2 min,"1 collection, 4 episodes",Super Monsters Monster Party
"November 22, 2019",Reality competition,English,,"December 7, 2018",32–35 min,"2 seasons, 13 episodes",Nailed It! Holiday
"June 7, 2019",Animation,English,,"June 7, 2019",9–12 min,"1 season, 5 episodes",Super Monsters Monster Pets
"July 12, 2019",Animation,English,,"July 12, 2019",3 min,"1 collection, 8 episodes",True Tunes
"October 18, 2019",Animation,No spoken language,,"October 18, 2019",6–7 min,"1 collection, 3 episodes",Mighty Little Bheem: Diwali
"November 1, 2019",Reality television,English,,"November 1, 2019",49–51 min,"1 season, 4 episodes",Queer Eye: We're in Japan!
"March 5, 2020",Animation,No spoken language,,"March 5, 2020",6–7 min,"1 collection, 3 episodes",Mighty Little Bheem: Festival of Colors
"May 12, 2020",Animation,English,,"May 12, 2020",7–8 min,"1 season, 8 episodes",True: Terrific Tales
"August 7, 2020",Animation,English,,"August 7, 2020",3 min,"1 season, 8 episodes",Word Party Songs
"August 10, 2020",Comedy,English,,"August 10, 2020",26–30 min,"1 season, 4 episodes",Game On: A Comedy Crossover Event
"September 2, 2020",Making-of,English,,"September 2, 2020",5–7 min,8 episodes,The Witcher: A Look Inside the Episodes
"December 22, 2020",Animation,English,,"December 22, 2020",12 min,"1 season, 10 episodes",Rhyme Time Town Singalongs
"January 8, 2021",Animation,No spoken language,,"January 8, 2021",6–7 min,"1 collection, 3 episodes",Mighty Little Bheem: Kite Festival
"May 5, 2021",Game show,Hindi,,"May 5, 2021",24–37 min,"1 season, 10 episodes",Lava Ka Dhaava
"June 14, 2021",Crime teen drama,Spanish,,"June 14, 2021",10–15 min,"1 season, 3 episodes",Elite Short Stories: Guzmán Caye Rebe
"June 15, 2021",Crime teen drama,Spanish,,"June 15, 2021",10–14 min,"1 season, 3 episodes",Elite Short Stories: Nadia Guzmán
"June 16, 2021",Crime teen drama,Spanish,,"June 16, 2021",10–14 min,"1 season, 3 episodes",Elite Short Stories: Omar Ander Alexis
"June 17, 2021",Crime teen drama,Spanish,,"June 17, 2021",13–16 min,"1 season, 3 episodes",Elite Short Stories: Carla Samuel
"November 23, 2021",Aftershow,English,,"July 23, 2021",25 min,"1 season, 2 episodes",Revelations: The Masters of the Universe Revelation Aftershow
"October 7, 2021",Comedy,Japanese,,"August 29, 2021",3–6 min,"1 season, 10 episodes",The Ingenuity of the Househusband
"December 3, 2021",Docu-series,Spanish,,"September 3, 2021",51–52 min,"2 volumes, 2 episodes",Money Heist: From Tokyo to Berlin
"November 19, 2021",Reality show,English,,"November 19, 2021",28–29 min,"1 season, 4 episodes",Blown Away: Christmas
"December 15, 2021",Crime teen drama,Spanish,,"December 15, 2021",9–16 min,"1 season, 3 episodes",Elite Short Stories: Phillipe Caye Felipe
"December 20, 2021",Crime teen drama,Spanish,,"December 20, 2021",11–12 min,"1 season, 3 episodes",Elite Short Stories: Samuel Omar
"December 23, 2021",Crime teen drama,Spanish,,"December 23, 2021",11–13 min,"1 season, 3 episodes",Elite Short Stories: Patrick
"June 16, 2022",Animation,English,,"February 24, 2022",4–6 min,"2 volumes, 10 episodes",Karma's World Music Videos
