Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"October 31, 2019",Thriller,,"October 31, 2019",33–67 min,"1 season, 8 episodes",Nowhere Man
"December 6, 2019",Crime drama/romance,,"December 6, 2019",35–47 min,"1 season, 6 episodes",Triad Princess
"January 23, 2020",Mystery drama,,"January 23, 2020",48–57 min,"1 season, 6 episodes",The Ghost Bride
"October 22, 2021",Romantic drama,,"October 22, 2021",42–50 min,"1 season, 10 episodes",More than Blue: The Series
"March 18, 2022",Suspense thriller/Melodrama,,"November 26, 2021",44–55 min,"3 parts, 24 episodes",Light the Night
"July 15, 2022",Romantic dramedy,,"July 15, 2022",43–67 min,"1 season, 11 episodes","Mom, Don't Do That!"
"October 28, 2022",Suspense thriller,,"October 28, 2022",45–51 min,"1 season, 9 episodes",Shards of Her
