Finale,Genre,Language,Notes,Premiere,Runtime,Seasons,Title
"December 9, 2016",Science investigation,English,,"December 9, 2016",45–48 min,"1 season, 10 episodes",White Rabbit Project
"December 27, 2016",Celebrity,English,,"December 27, 2016",26–33 min,"1 season, 10 episodes",Chasing Cameron
"August 31, 2018",Competition,English,,"February 24, 2017",41–84 min,"3 seasons, 29 episodes",Ultimate Beastmaster
"October 5, 2022",Baking competition,English,,"March 9, 2018",12–35 min,"7 seasons, 43 episodes",Nailed It!
"September 20, 2019",Motoring,English,,"April 6, 2018",41–52 min,"2 seasons, 15 episodes",Fastest Car
"June 22, 2018",Cooking show,English,,"June 22, 2018",13–15 min,"1 season, 12 episodes",Cooking on High
"July 31, 2020",Baking competition,English,,"July 13, 2018",47–55 min,"3 seasons, 20 episodes",Sugar Rush
"July 20, 2018",Reality,English,,"July 20, 2018",21–28 min,"1 season, 12 episodes",Amazing Interiors
"May 15, 2020",Reality,English,,"August 17, 2018",20–25 min,"3 seasons, 19 episodes",Magic for Humans
"August 17, 2018",Reality,English,,"August 17, 2018",31–33 min,"1 season, 8 episodes",Stay Here
"September 21, 2018",Reality,English,,"September 21, 2018",38–46 min,"1 season, 8 episodes",Battlefish
"September 28, 2018",Reality,Spanish,,"September 28, 2018",45–54 min,"1 season, 8 episodes",Made in Mexico
"October 5, 2018",Celebrity,English,,"October 5, 2018",38–46 min,"1 season, 8 episodes",Dancing Queen
"May 14, 2021",Horror,English,,"October 19, 2018",20–34 min,"3 seasons, 18 episodes",Haunted
"November 9, 2018",Music,English,,"November 9, 2018",46–58 min,"1 season, 8 episodes",Westside
"November 20, 2018",Culinary competition,English,,"November 20, 2018",48–60 min,"1 season, 10 episodes",The Final Table
"November 30, 2018",Reality,English,,"November 30, 2018",31–39 min,"1 season, 8 episodes",Death by Magic
"January 1, 2019",Reality show,English,,"January 1, 2019",35–47 min,"1 season, 8 episodes",Tidying Up with Marie Kondo
"January 5, 2021",Reality,Spanish,,"February 8, 2019",32–34 min,"3 seasons, 18 episodes",Nailed It! Mexico
"June 12, 2020",Reality,English,,"February 14, 2019",24–30 min,"2 seasons, 12 episodes",Dating Around
"April 10, 2019",Interactive reality,English,,"April 10, 2019",14–26 min,"1 season, 8 episodes",You vs. Wild
"May 3, 2019",Game show,English,,"May 3, 2019",20–25 min,"1 season, 10 episodes",Flinch
"May 10, 2019",Reality television,English,,"May 10, 2019",37–47 min,"1 season, 10 episodes",Jailbirds
"June 14, 2019",Reality television,English,,"June 14, 2019",35–41 min,"1 season, 8 episodes",Awake: The Million Dollar Game
"July 12, 2019",Reality television,English,,"July 12, 2019",32–40 min,"1 season, 8 episodes",Extreme Engagement
"August 2, 2019",Reality competition,English,,"August 2, 2019",31–37 min,"1 season, 6 episodes",Basketball or Nothing
"August 21, 2019",Reality competition,English,,"August 21, 2019",43–61 min,"1 season, 10 episodes",Hyperdrive
