Finale,Genre,Language,Notes,Premiere,Runtime,Seasons,Title
"August 30, 2019",Reality television,English,,"August 30, 2019",33–40 min,"1 season, 8 episodes",Styling Hollywood
"October 25, 2019",Reality competition,French,,"October 25, 2019",34 min,"1 season, 6 episodes",Nailed It! France
"October 25, 2019",Reality competition,Spanish,,"October 25, 2019",31–34 min,"1 season, 6 episodes",Nailed It! Spain
"April 1, 2021",Prank show,English,,"October 25, 2019",19–27 min,"2 seasons, 15 episodes",Prank Encounters
"November 15, 2019",Reality television,English,,"November 15, 2019",25–41 min,"1 season, 6 episodes",I'm with the Band: Nasty Cherry
"November 19, 2019",Reality television,Spanish,,"November 19, 2019",38–47 min,"1 season, 6 episodes",No Time for Shame
"November 22, 2019",Reality,English,,"November 22, 2019",35–44 min,"1 season, 8 episodes",Singapore Social
"November 27, 2020",Baking competition,English,,"November 29, 2019",48–52 min,"2 seasons, 12 episodes",Sugar Rush Christmas
"January 18, 2023",Reality competition,English,,"January 1, 2020",44–63 min,"5 seasons, 64 episodes",The Circle
"January 10, 2020",Reality competition,French,,"January 10, 2020",17–25 min,"1 season, 10 episodes",Until Dawn
"January 17, 2020",Reality competition,German,,"January 17, 2020",34–37 min,"1 season, 6 episodes",Nailed It! Germany
"January 24, 2020",Reality television,English,,"January 24, 2020",30–37 min,"1 season, 6 episodes",The Goop Lab with Gwyneth Paltrow
"January 30, 2020",Dating show,English,,"January 30, 2020",45–50 min,"1 season, 7 episodes",What the Love! with Karan Johar
"March 11, 2020",Reality competition,Portuguese,,"March 11, 2020",39–61 min,"1 season, 12 episodes",The Circle Brazil
"March 13, 2020",Reality competition,English,,"March 13, 2020",32–41 min,"1 season, 8 episodes",100 Humans
"April 9, 2020",Reality competition,French,,"April 9, 2020",37–51 min,"1 season, 12 episodes",The Circle France
"April 20, 2020",Reality competition,English,,"April 20, 2020",32–37 min,"1 season, 6 episodes",Cooked with Cannabis
"May 18, 2020",Reality competition,English,,"May 18, 2020",33–42 min,"1 season, 8 episodes",The Big Flower Fight
"September 30, 2022",Game show,English,,"June 19, 2020",25–37 min,"3 seasons, 20 episodes",Floor Is Lava
"June 26, 2020",Travel reality,Korean,,"June 26, 2020",55–83 min,"1 season, 8 episodes",Twogether
"July 1, 2020",Reality,English,,"July 1, 2020",52–57 min,"1 season, 8 episodes",Say I Do
"July 3, 2020",Reality,English,,"July 3, 2020",25–32 min,"1 season, 8 episodes",Southern Survival
"July 10, 2020",Reality,Portuguese,,"July 10, 2020",26–27 min,"1 season, 6 episodes",Dating Around: Brazil
"July 15, 2020",Reality,English,,"July 15, 2020",32–44 min,"1 season, 8 episodes",Skin Decision: Before and After
"July 24, 2020",Singing contest,Spanish,,"July 24, 2020",37–42 min,"1 season, 8 episodes",Sing On! Spain
"August 7, 2020",Singing contest,German,,"August 7, 2020",35–40 min,"1 season, 7 episodes",Sing On! Germany
"August 12, 2020",Reality,English,,"August 12, 2020",48–57 min,"1 season, 6 episodes",(Un)well
"August 19, 2020",Reality,English,,"August 19, 2020",25–31 min,"1 season, 6 episodes",DeMarcus Family Rules
"August 26, 2020",Reality,English,,"August 26, 2020",23–30 min,"1 season, 6 episodes",Million Dollar Beach House
"April 1, 2022",Reality,English,,"September 9, 2020",40–47 min,"2 seasons, 16 episodes",Get Organized with The Home Edit
"September 16, 2020",Singing contest,English,,"September 16, 2020",34–37 min,"1 season, 8 episodes",Sing On!
"October 13, 2020",Reality,English,,"October 13, 2020",22–27 min,"1 season, 5 episodes",The Cabin with Bert Kreischer
"December 9, 2022",Reality,English,,"October 16, 2020",22–33 min,"4 seasons, 24 episodes",Dream Home Makeover
"November 6, 2020",Reality,English,,"November 6, 2020",22–26 min,"1 season, 12 episodes",Country Ever After
"November 11, 2020",Reality,Portuguese,,"November 11, 2020",42–44 min,"1 season, 6 episodes",A Queen Is Born
"November 17, 2020",Reality,English,,"November 17, 2020",29–35 min,"1 season, 6 episodes",We Are the Champions
"November 18, 2020",Reality,English,,"November 18, 2020",35–40 min,"1 season, 4 episodes",Holiday Home Makeover with Mr. Christmas
"December 30, 2020",Reality competition,English,,"December 30, 2020",34–35 min,"1 season, 8 episodes",Best Leftovers Ever!
"October 5, 2022",Reality,English,,"January 15, 2021",25–47 min,"3 seasons, 26 episodes",Bling Empire
"February 12, 2021",Reality,English,,"February 12, 2021",23–26 min,"1 season, 8 episodes",Buried by the Bernards
"April 7, 2021",Reality,English,,"February 14, 2021",37–45 min,"2 collections, 6 episodes",The Big Day
"February 24, 2021",Reality,English,,"February 24, 2021",24–35 min,"1 season, 6 episodes",Canine Intervention
"March 10, 2021",Reality,English,,"March 10, 2021",32–43 min,"1 season, 10 episodes",Marriage or Mortgage
"March 26, 2021",Reality,Spanish,,"March 26, 2021",22–25 min,"1 season, 6 episodes",Magic for Humans Spain
"March 31, 2021",Reality show,Spanish,,"March 31, 2021",26–47 min,"1 season, 5 episodes",Haunted: Latin America
"April 7, 2021",Reality,English,,"April 7, 2021",31–33 min,"1 season, 6 episodes",The Wedding Coach
"April 30, 2021",Reality,English,,"April 30, 2021",26–28 min,"1 season, 5 episodes",Pet Stars
"June 9, 2021",Travel reality,English,,"June 9, 2021",24–26 min,"1 season, 8 episodes","Fresh, Fried and Crispy"
"September 14, 2021",Travel reality,English,,"June 18, 2021",31–34 min,"2 seasons, 16 episodes",World's Most Amazing Vacation Rentals
"December 2, 2022",Reality,English,,"July 14, 2021",35–47 min,"2 seasons, 18 episodes",My Unorthodox Life
"October 5, 2022",Dating show,Portuguese,,"July 21, 2021",45–64 min,"2 seasons, 16 episodes",Too Hot to Handle: Brazil
"July 28, 2021",Reality,English,,"July 28, 2021",20–29 min,"1 season, 6 episodes",Tattoo Redo
"August 4, 2021",Cooking show,English,,"August 4, 2021",21–25 min,"1 season, 6 episodes",Cooking with Paris
"January 20, 2023",Baking competition,English,,"August 11, 2021",33–36 min,"2 seasons, 16 episodes",Bake Squad
"August 25, 2021",Reality,English,,"August 25, 2021",28–31 min,"1 season, 6 episodes",Motel Makeover
"August 27, 2021",Reality,English,,"August 27, 2021",30–35 min,"1 season, 8 episodes",Titletown High
"August 31, 2021",Reality,Japanese,,"August 31, 2021",39–45 min,"1 season, 3 episodes",Sparking Joy
"September 1, 2021",Reality,English,,"September 1, 2021",22–26 min,"1 season, 6 episodes",How to Be a Cowboy
"September 10, 2021",Reality competition,English,,"September 10, 2021",31–35 min,"1 season, 6 episodes",Metal Shop Masters
"September 29, 2021",Reality,Spanish,,"September 15, 2021",29–39 min,"1 season, 8 episodes",Too Hot to Handle: Latino
"September 24, 2021",Reality,English,,"September 24, 2021",38–42 min,"1 season, 3 episodes",Jailbirds: New Orleans
"October 13, 2021",Baking competition,English,,"October 6, 2021",47–51 min,"1 season, 8 episodes",Baking Impossible
"May 26, 2022",Reality,Spanish,,"October 21, 2021",38–60 min,"2 seasons, 14 episodes",Insiders
"October 21, 2021",Reality,English,,"October 21, 2021",30–40 min,"1 season, 6 episodes","Sex, Love & goop"
"February 16, 2022",Reality,English,,"November 9, 2021",27–33 min,"2 seasons, 12 episodes",Swap Shop
"November 18, 2021",Reality,Spanish,,"November 11, 2021",47–50 min,"1 season, 7 episodes",Love Never Lies
"December 11, 2021",Reality,Korean,,"November 20, 2021",60–77 min,"1 season, 8 episodes",New World
"November 23, 2021",Reality,Arabic,,"November 23, 2021",29–42 min,"1 season, 6 episodes",The Fastest
"November 26, 2021",Reality competition,English,,"November 26, 2021",28–49 min,"1 season, 8 episodes",School of Chocolate
"December 3, 2021",Reality,English,,"December 3, 2021",29–37 min,"1 season, 6 episodes",Coming Out Colton
"December 9, 2021",Reality,Portuguese,,"December 9, 2021",34–47 min,"1 season, 5 episodes",The Family That Sings Together: The Camargos
"December 17, 2021",Reality,English,,"December 10, 2021",21–45 min,"1 season, 12 episodes",Twentysomethings: Austin
"December 11, 2021",Travel reality,Korean,,"December 11, 2021",55–77 min,"1 season, 10 episodes",The Hungry and the Hairy
"May 31, 2022",Reality,Japanese,,"December 14, 2021",27–38 min,"2 seasons, 17 episodes",The Future Diary
"December 15, 2021",Docu-soap,English,,"December 15, 2021",24–40 min,"1 season, 8 episodes",Selling Tampa
"January 7, 2022",Reality,English,,"January 7, 2022",26–36 min,"1 season, 8 episodes",Hype House
"January 28, 2022",Reality,English,,"January 28, 2022",25–27 min,"1 season, 6 episodes",Getting Curious with Jonathan Van Ness
"February 8, 2022",Dating show,Japanese,,"February 8, 2022",46–70 min,"1 season, 11 episodes",Love Is Blind: Japan
"February 9, 2022",Reality,Portuguese,,"February 9, 2022",45–52 min,"1 season, 6 episodes",The Big Shot Game Show
"March 4, 2022",Reality,English,,"March 4, 2022",37–43 min,"1 season, 8 episodes",Making Fun
"March 9, 2022",Reality,English,,"March 9, 2022",35–45 min,"1 season, 8 episodes",Byron Baes
"March 9, 2022",Makeover reality,German,,"March 9, 2022",48–52 min,"1 season, 5 episodes",Queer Eye: Germany
"March 11, 2022",Reality,English,,"March 11, 2022",37–49 min,"1 season, 9 episodes",Life After Death with Tyler Henry
"April 27, 2022",Game show,English,,"April 27, 2022",29–39 min,"1 season, 10 episodes",Bullsh*t The Game Show
"June 15, 2022",Reality competition,English,,"June 15, 2022",46–50 min,"1 season, 8 episodes",Iron Chef: Quest for an Iron Legend
"June 22, 2022",Reality,English,,"June 22, 2022",31–45 min,"1 season, 8 episodes",Snowflake Mountain
"June 23, 2022",Reality,Spanish,,"June 23, 2022",39–47 min,"1 season, 6 episodes",First Class
"June 29, 2022",Reality,English,,"June 29, 2022",25–34 min,"1 season, 8 episodes",Pirate Gold of Adak Island
"July 8, 2022",Reality,English,,"July 8, 2022",36–45 min,"1 season, 8 episodes",How to Build a Sex Room
"August 4, 2022",Reality,Spanish,,"August 4, 2022",33–42 min,"1 season, 6 episodes",Lady Tamara
"August 10, 2022",Reality,English,,"August 10, 2022",39–47 min,"1 season, 8 episodes",Instant Dream Home
"August 10, 2022",Reality competition,Portuguese,,"August 10, 2022",45–52 min,"1 season, 8 episodes",Iron Chef Brazil
"August 24, 2022",Makeover reality,Portuguese,,"August 24, 2022",45–49 min,"1 season, 6 episodes",Queer Eye: Brazil
"August 26, 2022",Reality,English,,"August 26, 2022",31–34 min,"1 season, 8 episodes",Drive Hard: The Maloof Way
"September 2, 2022",Reality,English,,"September 2, 2022",29–38 min,"1 season, 6 episodes",Buy My House
"September 2, 2022",Reality,English,,"September 2, 2022",30–50 min,"1 season, 10 episodes",Dated & Related
"September 8, 2022",Reality,Spanish,,"September 8, 2022",45–47 min,"1 season, 6 episodes",Who Likes My Follower?
"September 21, 2022",Reality,English,,"September 21, 2022",34–43 min,"1 season, 8 episodes",Designing Miami
"September 21, 2022",Reality competition,Spanish,,"September 21, 2022",46–56 min,"1 season, 8 episodes",Iron Chef Mexico
"October 2, 2022",Reality competition,Spanish,,"October 2, 2022",33–54 min,"1 season, 6 episodes",Forever Queens
"October 12, 2022",Reality competition,English,,"October 12, 2022",36–40 min,"1 season, 8 episodes",Easy-Bake Battle: The Home Cooking Competition
"October 21, 2022",Reality competition,English,,"October 21, 2022",29–39 min,"1 season, 6 episodes",28 Days Haunted
"October 28, 2022",Reality competition,English,,"October 28, 2022",35–42 min,"1 season, 10 episodes",Drink Masters
"November 10, 2022",Reality competition,Spanish,,"November 10, 2022",45–50 min,"1 season, 8 episodes",Love Never Lies: Destination Sardinia
"November 15, 2022",Reality competition,Japanese,,"November 15, 2022",49–61 min,"1 season, 4 episodes",Run for the Money
"November 16, 2022",Reality,English,,"November 16, 2022",28–35 min,"1 season, 6 episodes",Mind Your Manners
"November 25, 2022",Reality competition,Korean,,"November 25, 2022",41–51 min,"1 season, 8 episodes",Korea No.1
"November 30, 2022",Reality competition,English,,"November 30, 2022",28–41 min,"1 season, 8 episodes",Snack vs. Chef
"December 16, 2022",Reality competition,English,,"December 16, 2022",33–36 min,"1 season, 8 episodes",Cook at All Costs
"December 16, 2022",Reality competition,English,,"December 16, 2022",40–49 min,"1 season, 8 episodes",Dance Monsters
"December 16, 2022",Reality,Italian,,"December 16, 2022",43–47 min,"1 season, 8 episodes",Summer Job
"December 23, 2022",Reality competition,Spanish,,"December 23, 2022",38–48 min,"1 season, 7 episodes",Piñata Masters
"January 6, 2023",Dating show,French,,"December 30, 2022",34–41 min,"1 season, 10 episodes",The Ultimatum: France
"January 6, 2023",Reality competition,English,,"January 6, 2023",40–57 min,"1 season, 8 episodes",Pressure Cooker
"January 20, 2023",Reality,English,,"January 20, 2023",34–42 min,"1 season, 8 episodes",Bling Empire: New York
"February 1, 2023",Reality competition,Polish,,"January 25, 2023",44–57 min,"1 season, 7 episodes",Love Never Lies: Poland
