Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"November 30, 2018",Spy thriller,,"November 30, 2018",50–63 min,"1 season, 8 episodes",1983
"June 12, 2020",Thriller,,"June 12, 2020",46–55 min,"1 season, 6 episodes",The Woods
"January 11, 2023",Comedy drama,,"April 28, 2021",32–51 min,"2 seasons, 16 episodes",Sexify
"August 25, 2021",Thriller,,"August 25, 2021",42–54 min,"1 season, 6 episodes",Open Your Eyes
"March 18, 2022",Fantasy drama,,"March 18, 2022",49–55 min,"1 season, 8 episodes",Cracow Monsters
"April 22, 2022",Thriller,,"April 22, 2022",41–53 min,6 episodes,Hold Tight
"June 23, 2022",Drama,,"June 23, 2022",46–54 min,"1 season, 4 episodes",Queen
"August 31, 2022",Comedy,,"August 31, 2022",41–52 min,"1 season, 8 episodes",Family Secrets
"October 5, 2022",Drama,,"October 5, 2022",42–46 min,"1 season, 6 episodes",High Water
"December 1, 2022",Dark comedy,,"December 1, 2022",25–30 min,"1 season, 6 episodes",Dead End
"December 14, 2022",Drama,,"December 14, 2022",28–35 min,"1 season, 10 episodes",Glitter
