Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"June 9, 2017",Comedy,,"June 9, 2017",27–30 min,"1 season, 20 episodes",My Only Love Song
"October 5, 2018",Comedy,,"October 5, 2018",20–29 min,"1 season, 8 episodes",YG Future Strategy Office
"March 13, 2020",Period horror thriller,,"January 25, 2019",36–57 min,"2 seasons, 12 episodes",Kingdom
"April 11, 2019",Anthology,,"April 11, 2019",19–27 min,4 episodes,Persona
"July 26, 2019",Romantic comedy,,"April 18, 2019",42–56 min,"2 seasons, 16 episodes",My First First Love
"March 12, 2021",Romantic dramedy,,"August 22, 2019",42–71 min,"2 seasons, 14 episodes",Love Alarm
"February 7, 2020",Science fiction romance,,"February 7, 2020",49–57 min,12 episodes,My Holo Love
"April 29, 2020",Teen/crime drama,,"April 29, 2020",44–72 min,"1 season, 10 episodes",Extracurricular
"September 25, 2020",Fantasy drama,,"September 25, 2020",45–57 min,"1 season, 6 episodes",The School Nurse Files
"May 14, 2021",Melodrama,,"May 14, 2021",43–61 min,"1 season, 10 episodes",Move to Heaven
"June 18, 2021",Sitcom,,"June 18, 2021",30–34 min,"1 season, 12 episodes",So Not Worth It
"October 15, 2021",Crime thriller,,"October 15, 2021",45–58 min,"1 season, 8 episodes",My Name
"December 24, 2021",Science fiction thriller,,"December 24, 2021",39–51 min,"1 season, 8 episodes",The Silent Sea
"February 25, 2022",Legal drama,,"February 25, 2022",54–69 min,"1 season, 10 episodes",Juvenile Justice
"May 6, 2022",Musical/Romantic fantasy,,"May 6, 2022",62–77 min,"1 season, 6 episodes",The Sound of Magic
"December 9, 2022",Heist crime drama,,"June 24, 2022",63–78 min,"1 season, 12 episodes",Money Heist: Korea – Joint Economic Area
"July 15, 2022",Melodrama,,"July 15, 2022",55–71 min,"1 season, 8 episodes",Remarriage & Desires
"August 12, 2022",Crime thriller,,"August 12, 2022",41–50 min,"1 season, 10 episodes",A Model Family
"September 9, 2022",Crime drama,,"September 9, 2022",51–68 min,"1 season, 6 episodes",Narco-Saints
"October 7, 2022",Comedy thriller,,"October 7, 2022",42–66 min,"1 season, 10 episodes",Glitch
"November 18, 2022",Suspense thriller,,"November 18, 2022",49–71 min,"1 season, 8 episodes",Somebody
"December 23, 2022",Romantic comedy,,"December 23, 2022",44–66 min,"1 season, 8 episodes",The Fabulous
