Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"January 17, 2020",Horror drama,,"January 17, 2020",24–33 min,"1 season, 8 episodes",Ares
"October 16, 2021",Teen musical comedy-drama,,"October 16, 2021",22–28 min,"1 season, 8 episodes",Misfit: The Series
"April 8, 2022",Drama,,"April 8, 2022",43–51 min,"1 season, 6 episodes",Dirty Lines
