Finale,Genre,Language,Notes,Premiere,Runtime,Seasons,Title
"December 15, 2017",Late-night,English,,"May 11, 2016",27–64 min,"2 seasons, 120 episodes",Chelsea
"May 11, 2018",Science,English,,"April 21, 2017",26–41 min,"3 seasons, 25 episodes",Bill Nye Saves the World
"May 20, 2022",Interview,English,,"January 12, 2018",41–58 min,"4 seasons, 23 episodes",My Next Guest Needs No Introduction with David Letterman
"July 15, 2018",Comedy,English,,"February 18, 2018",22–28 min,"1 season, 19 episodes",The Joel McHale Show with Joel McHale
"May 4, 2018",Talk show,English,,"May 4, 2018",21–29 min,"1 season, 12 episodes",A Little Help with Carol Burnett
"January 22, 2021",Variety show,Korean,,"May 4, 2018",63–98 min,"3 seasons, 28 episodes",Busted!
"July 29, 2018",Late-night,English,,"May 27, 2018",23–30 min,"1 season, 10 episodes",The Break with Michelle Wolf
"September 14, 2018",Talk show,English,,"September 14, 2018",26–35 min,"1 season, 10 episodes",Norm Macdonald Has a Show
"October 12, 2018",Cooking show,English,,"October 12, 2018",24–29 min,"1 season, 6 episodes",The Curious Creations of Christine McConnell
"June 28, 2020",Talk show,English,,"October 28, 2018",22–30 min,"6 volumes, 40 episodes",Patriot Act with Hasan Minhaj
"December 14, 2018",Panel show,English,,"December 14, 2018",23–31 min,"1 season, 10 episodes",The Fix
"June 13, 2020",Variety show,Mandarin,,"March 21, 2020",56–88 min,"1 season, 13 episodes",J-Style Trip
"June 12, 2020",Talk show,German,,"June 12, 2020",37–48 min,"1 season, 5 episodes",Frank Elstner: Just One Last Question
"October 1, 2021",Talk show,Korean,,"October 1, 2021",46–69 min,"1 season, 6 episodes",Paik's Spirit
"December 28, 2021",Talk show,Spanish,,"December 28, 2021",19–21 min,"1 season, 4 episodes",Azcárate: No Holds Barred
"March 18, 2022",Talk show,Italian,,"March 18, 2022",27–32 min,"1 season, 6 episodes",Alessandro Cattelan: One Simple Question
"December 30, 2022",Fitness,English,,"December 30, 2022",11–21 min,"1 volume, 6 episodes",Fall in Love with Vinyasa
"December 30, 2022",Fitness,English,,"December 30, 2022",7–19 min,"1 volume, 6 episodes",Feel-Good Fitness
"December 30, 2022",Fitness,English,,"December 30, 2022",6–31 min,"1 volume, 14 episodes",Hit & Strength with Tara
"December 30, 2022",Fitness,English,,"December 30, 2022",11–30 min,"1 volume, 13 episodes",Kickstart Fitness with the Basics
"December 30, 2022",Fitness,English,,"December 30, 2022",6–22 min,"1 volume, 7 episodes",Two Weeks to a Stronger Core
