Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"April 5, 2019",Crime drama,,"April 5, 2019",41–49 min,"1 season, 6 episodes",Quicksand
"June 16, 2022",Romantic comedy,,"November 4, 2020",25–36 min,"2 seasons, 16 episodes",Love & Anarchy
"September 22, 2022",Thriller,,"April 7, 2021",38–51 min,"2 seasons, 12 episodes",Snabba Cash
"November 5, 2021",Crime drama miniseries,,"November 5, 2021",43–52 min,5 episodes,The Unlikely Murderer
"December 29, 2021",Comedy drama,,"December 29, 2021",23–34 min,6 episodes,Anxious People
"May 5, 2022",Drama,,"May 5, 2022",54–69 min,6 episodes,Clark
"October 13, 2022",Docu-drama miniseries,,"October 13, 2022",45–56 min,6 episodes,The Playlist
