Genre,Language,Premiere,Runtime,Title
One-man show,English,"November 13, 2018",1 h 31 min,Loudon Wainwright III: Surviving Twin
Animation,English,"November 30, 2018",30 min,Angela's Christmas
One-man show,English,"December 16, 2018",2 h 33 min,Springsteen on Broadway
Comedy,Portuguese,"December 21, 2018",44 min,Porta dos Fundos: The Last Hangover
Concert film,English,"December 31, 2018",2 h 5 min,Taylor Swift: Reputation Stadium Tour
