Genre,Language,Premiere,Runtime,Title
Biographical comedy,English,"January 12, 2018",1 h 34 min,The Polka King
Comedy,English,"January 19, 2018",1 h 48 min,Step Sisters
Horror thriller,English,"January 19, 2018",1 h 34 min,The Open House
Biographical comedy,English,"January 26, 2018",1 h 41 min,A Futile and Stupid Gesture
Science fiction horror,English,"February 4, 2018",1 h 42 min,The Cloverfield Paradox
Romantic comedy,English,"February 9, 2018",1 h 37 min,When We First Met
Romantic comedy,Hindi,"February 14, 2018",2 h 13 min,Love Per Square Foot
Romantic drama,English,"February 16, 2018",1 h 36 min,Irreplaceable You
Science fiction,English,"February 23, 2018",2 h 6 min,Mute
Crime drama,English,"March 9, 2018",2 h,The Outsider
Family,English,"March 16, 2018",1 h 27 min,Benji
Action comedy,English,"March 23, 2018",1 h 41 min,"Game Over, Man!"
Musical / Western / Fantasy,English,"March 23, 2018",1 h 13 min,Paradox
Musical drama,English,"March 23, 2018",1 h 40 min,Roxanne Roxanne
Romantic comedy,English,"March 30, 2018",1 h 18 min,Happy Anniversary
Sports-drama,English,"March 30, 2018",1 h 42 min,First Match
Drama,English,"April 6, 2018",1 h 15 min,6 Balloons
Sports-drama,English,"April 6, 2018",1 h 36 min,Amateur
Biopic,English,"April 13, 2018",1 h 45 min,Come Sunday
Romantic comedy,French,"April 13, 2018",1 h 38 min,I Am Not an Easy Man
Teen comedy-drama,English,"April 20, 2018",1 h 37 min,Dude
Romantic comedy,English,"April 27, 2018",1 h 32 min,Candy Jar
Comedy,English,"April 27, 2018",1 h 56 min,The Week Of
Drama,Tamil,"May 1, 2018",1 h 41 min,Sometimes
Drama,Italian,"May 4, 2018",1 h 44 min,Forgive Us Our Debts
Teen romantic comedy,English,"May 11, 2018",1 h 46 min,The Kissing Booth
Drama / Horror,English,"May 18, 2018",1 h 44 min,Cargo
Comedy,English,"May 25, 2018",1 h 34 min,Ibiza
Drama,Spanish,"May 25, 2018",1 h 56 min,Sara's Notebook
Romantic comedy,English,"June 8, 2018",1 h 39 min,Alex Strangelove
Romantic comedy,English,"June 15, 2018",1 h 45 min,Set It Up
Drama anthology,Hindi,"June 15, 2018",2 h,Lust Stories
Romantic comedy,French,"June 24, 2018",1 h 35 min,"To Each, Her Own"
Thriller,English,"June 29, 2018",1 h 41 min,Calibre
Science fiction thriller,English,"June 29, 2018",1 h 37 min,TAU
Adventure comedy,English,"July 6, 2018",1 h 23 min,The Legacy of a Whitetail Deer Hunter
Action-thriller,English,"July 13, 2018",1 h 53 min,How It Ends
Comedy,English,"July 20, 2018",1 h 34 min,Father of the Year
Animated comedy,English,"July 20, 2018",1 h 32 min,Duck Duck Goose
Science fiction thriller,English,"July 27, 2018",1 h 35 min,Extinction
Action comedy,Hindi,"August 3, 2018",1 h 40 min,Brij Mohan Amar Rahe
Comedy drama,English,"August 3, 2018",1 h 43 min,Like Father
Black comedy,English,"August 10, 2018",1 h 34 min,The Package
Teen romantic comedy,English,"August 17, 2018",1 h 40 min,To All the Boys I’ve Loved Before
Comedy,English,"August 24, 2018",1 h 29 min,The After Party
Teen romantic comedy-drama,English,"September 7, 2018",1 h 46 min,Sierra Burgess Is a Loser
Mystery,French,"September 7, 2018",1 h 42 min,The Most Assassinated Woman in the World
Crime drama,Italian,"September 12, 2018",1 h 40 min,On My Skin
Comedy drama,English,"September 14, 2018",1 h 38 min,The Land of Steady Habits
Spy thriller,English,"September 14, 2018",1 h 54 min,The Angel
Comedy drama,English,"September 21, 2018",1 h 38 min,Nappily Ever After
Action thriller,English,"September 28, 2018",2 h 5 min,Hold the Dark
Horror,English,"October 5, 2018",1 h 28 min,Malevolent
Drama,English,"October 5, 2018",2 h 4 min,Private Life
Crime drama,English,"October 10, 2018",2 h 24 min,22 July
Horror,English,"October 12, 2018",2 h 10 min,Apostle
Action-thriller,Indonesian,"October 19, 2018",2 h,The Night Comes for Us
Musical,English,"October 26, 2018",1 h 40 min,Been So Long
Christmas romantic comedy,English,"November 2, 2018",1 h 35 min,The Holiday Calendar
Drama,English,"November 2, 2018",2 h 2 min,The Other Side of the Wind
Historical-epic,English,"November 9, 2018",2 h 1 min,Outlaw King
Christmas romantic comedy,English,"November 16, 2018",1 h 42 min,The Princess Switch
Psychological horror,English,"November 16, 2018",1 h 34 min,Cam
Western anthology,English,"November 16, 2018",2 h 13 min,The Ballad of Buster Scruggs
Christmas / Fantasy / Adventure / Comedy,English,"November 22, 2018",1 h 45 min,The Christmas Chronicles
Christmas romantic comedy,English,"November 30, 2018",1 h 33 min,A Christmas Prince: The Royal Wedding
Comedy drama,Hindi,"November 30, 2018",1 h 58 min,Rajma Chawal
Christmas comedy,Italian,"December 7, 2018",1 h 35 min,5 Star Christmas
Adventure,English,"December 7, 2018",1 h 44 min,Mowgli: Legend of the Jungle
Drama,Spanish,"December 14, 2018",2 h 14 min,Roma
Psychological thriller,English,"December 21, 2018",2 h 4 min,Bird Box
