Genre,Language,Premiere,Runtime,Title
Comedy / Musical,English,"December 4, 2015",56 min,A Very Murray Christmas
Concert film,English,"October 12, 2016",1 h 30 min,Justin Timberlake + The Tennessee Kids
Aftershow / Interview,English,"January 26, 2017",36 min,13th: A Conversation with Oprah Winfrey & Ava DuVernay
Variety show,English,"February 7, 2017",54 min,"Michael Bolton's Big, Sexy Valentine's Day Special"
One-man show,English,"April 28, 2017",52 min,Rodney King
Concert film,English,"November 22, 2017",1 h 48 min,"Barbra: The Music, The Mem'ries, The Magic"
